independent_allstep_matching_v1 order=step_then_sorted_orbit_key fnv64=E274395806684DE3
30 14916386 14916830 14915978
30 14919200 14918348 14918792
30 14918978 14919422 14918570
30 14923088 14922236 14922680
30 14922866 14923310 14922458
30 14925680 14924828 14925272
30 14925458 14925902 14925050
30 14958080 14957228 14957672
30 14957858 14958302 14957450
30 14964560 14963708 14964152
30 14964338 14964782 14963930
30 14971040 14970188 14970632
30 14970818 14971262 14970410
30 16076528 16075676 16076120
30 16076306 16076750 16075898
30 16079120 16078268 16078712
30 16078898 16079342 16078490
30 16083008 16082156 16082600
30 16082786 16083230 16082378
30 16085600 16084748 16085192
30 16085378 16085822 16084970
30 16089488 16088636 16089080
30 16089266 16089710 16088858
30 16092080 16091228 16091672
30 16091858 16092302 16091450
30 16169840 16168988 16169432
30 16169618 16170062 16169210
30 16172432 16171580 16172024
30 16172210 16172654 16171802
30 16176320 16175468 16175912
30 16176098 16176542 16175690
30 16178912 16178060 16178504
30 16178690 16179134 16178282
30 16182800 16181948 16182392
30 16182578 16183022 16182170
30 16185392 16184540 16184984
30 16185170 16185614 16184762
30 16309808 16308956 16309400
30 16309586 16310030 16309178
30 16312400 16311548 16311992
30 16312178 16312622 16311770
30 16316288 16315436 16315880
30 16316066 16316510 16315658
30 16318880 16318028 16318472
30 16318658 16319102 16318250
30 16322768 16321916 16322360
30 16322546 16322990 16322138
30 16325360 16324508 16324952
30 16325138 16325582 16324730
30 16403120 16402268 16402712
30 16402898 16403342 16402490
30 16405712 16404860 16405304
30 16405490 16405934 16405082
30 16409600 16408748 16409192
30 16409378 16409822 16408970
30 16412192 16411340 16411784
30 16411970 16412414 16411562
30 16416080 16415228 16415672
30 16415858 16416302 16415450
30 16418672 16417820 16418264
30 16418450 16418894 16418042
30 16543088 16542236 16542680
30 16542866 16543310 16542458
30 16545680 16544828 16545272
30 16545458 16545902 16545050
30 16549568 16548716 16549160
30 16549346 16549790 16548938
30 16552160 16551308 16551752
30 16551938 16552382 16551530
30 16556048 16555196 16555640
30 16555826 16556270 16555418
30 16558640 16557788 16558232
30 16558418 16558862 16558010
30 16636400 16635548 16635992
30 16636178 16636622 16635770
30 16638992 16638140 16638584
30 16638770 16639214 16638362
30 16642880 16642028 16642472
30 16642658 16643102 16642250
30 16645472 16644620 16645064
30 16645250 16645694 16644842
30 16649360 16648508 16648952
30 16649138 16649582 16648730
30 16651952 16651100 16651544
30 16651730 16652174 16651322
30 24474608 24473756 24474200
30 24474386 24474830 24473978
30 24477200 24476348 24476792
30 24476978 24477422 24476570
30 24481088 24480236 24480680
30 24480866 24481310 24480458
30 24483680 24482828 24483272
30 24483458 24483902 24483050
30 24487568 24486716 24487160
30 24487346 24487790 24486938
30 24490160 24489308 24489752
30 24489938 24490382 24489530
30 24567920 24567068 24567512
30 24567698 24568142 24567290
30 24570512 24569660 24570104
30 24570290 24570734 24569882
30 24574400 24573548 24573992
30 24574178 24574622 24573770
30 24576992 24576140 24576584
30 24576770 24577214 24576362
30 24580880 24580028 24580472
30 24580658 24581102 24580250
30 24583472 24582620 24583064
30 24583250 24583694 24582842
30 24707888 24707036 24707480
30 24707666 24708110 24707258
30 24710480 24709628 24710072
30 24710258 24710702 24709850
30 24714368 24713516 24713960
30 24714146 24714590 24713738
30 24716960 24716108 24716552
30 24716738 24717182 24716330
30 24720848 24719996 24720440
30 24720626 24721070 24720218
30 24723440 24722588 24723032
30 24723218 24723662 24722810
30 24801200 24800348 24800792
30 24800978 24801422 24800570
30 24803792 24802940 24803384
30 24803570 24804014 24803162
30 24807680 24806828 24807272
30 24807458 24807902 24807050
30 24810272 24809420 24809864
30 24810050 24810494 24809642
30 24814160 24813308 24813752
30 24813938 24814382 24813530
30 24816752 24815900 24816344
30 24816530 24816974 24816122
30 24941168 24940316 24940760
30 24940946 24941390 24940538
30 24943760 24942908 24943352
30 24943538 24943982 24943130
30 24947648 24946796 24947240
30 24947426 24947870 24947018
30 24950240 24949388 24949832
30 24950018 24950462 24949610
30 24954128 24953276 24953720
30 24953906 24954350 24953498
30 24956720 24955868 24956312
30 24956498 24956942 24956090
30 25034480 25033628 25034072
30 25034258 25034702 25033850
30 25037072 25036220 25036664
30 25036850 25037294 25036442
30 25040960 25040108 25040552
30 25040738 25041182 25040330
30 25043552 25042700 25043144
30 25043330 25043774 25042922
30 25047440 25046588 25047032
30 25047218 25047662 25046810
30 25050032 25049180 25049624
30 25049810 25050254 25049402
30 26155520 26154668 26155112
30 26155298 26155742 26154890
30 26162000 26161148 26161592
30 26161778 26162222 26161370
30 26168480 26167628 26168072
30 26168258 26168702 26167850
30 26200880 26200028 26200472
30 26200658 26201102 26200250
30 26203472 26202620 26203064
30 26203250 26203694 26202842
30 26207360 26206508 26206952
30 26207138 26207582 26206730
30 26209952 26209100 26209544
30 26209730 26210174 26209322
30 26213840 26212988 26213432
30 26213618 26214062 26213210
30 26216432 26215580 26216024
30 26216210 26216654 26215802
30 26248832 26247980 26248424
30 26248610 26249054 26248202
30 26255312 26254460 26254904
30 26255090 26255534 26254682
30 26261792 26260940 26261384
30 26261570 26262014 26261162
30 26388800 26387948 26388392
30 26388578 26389022 26388170
30 26395280 26394428 26394872
30 26395058 26395502 26394650
30 26401760 26400908 26401352
30 26401538 26401982 26401130
30 26434160 26433308 26433752
30 26433938 26434382 26433530
30 26436752 26435900 26436344
30 26436530 26436974 26436122
30 26440640 26439788 26440232
30 26440418 26440862 26440010
30 26443232 26442380 26442824
30 26443010 26443454 26442602
30 26447120 26446268 26446712
30 26446898 26447342 26446490
30 26449712 26448860 26449304
30 26449490 26449934 26449082
30 26482112 26481260 26481704
30 26481890 26482334 26481482
30 26488592 26487740 26488184
30 26488370 26488814 26487962
30 26495072 26494220 26494664
30 26494850 26495294 26494442
30 26622080 26621228 26621672
30 26621858 26622302 26621450
30 26628560 26627708 26628152
30 26628338 26628782 26627930
30 26635040 26634188 26634632
30 26634818 26635262 26634410
30 26667440 26666588 26667032
30 26667218 26667662 26666810
30 26670032 26669180 26669624
30 26669810 26670254 26669402
30 26673920 26673068 26673512
30 26673698 26674142 26673290
30 26676512 26675660 26676104
30 26676290 26676734 26675882
30 26680400 26679548 26679992
30 26680178 26680622 26679770
30 26682992 26682140 26682584
30 26682770 26683214 26682362
30 26715392 26714540 26714984
30 26715170 26715614 26714762
30 26721872 26721020 26721464
30 26721650 26722094 26721242
30 26728352 26727500 26727944
30 26728130 26728574 26727722
30 27833840 27832988 27833432
30 27833618 27834062 27833210
30 27836432 27835580 27836024
30 27836210 27836654 27835802
30 27840320 27839468 27839912
30 27840098 27840542 27839690
30 27842912 27842060 27842504
30 27842690 27843134 27842282
30 27846800 27845948 27846392
30 27846578 27847022 27846170
30 27849392 27848540 27848984
30 27849170 27849614 27848762
30 27927152 27926300 27926744
30 27926930 27927374 27926522
30 27929744 27928892 27929336
30 27929522 27929966 27929114
30 27933632 27932780 27933224
30 27933410 27933854 27933002
30 27936224 27935372 27935816
30 27936002 27936446 27935594
30 27940112 27939260 27939704
30 27939890 27940334 27939482
30 27942704 27941852 27942296
30 27942482 27942926 27942074
30 28067120 28066268 28066712
30 28066898 28067342 28066490
30 28069712 28068860 28069304
30 28069490 28069934 28069082
30 28073600 28072748 28073192
30 28073378 28073822 28072970
30 28076192 28075340 28075784
30 28075970 28076414 28075562
30 28080080 28079228 28079672
30 28079858 28080302 28079450
30 28082672 28081820 28082264
30 28082450 28082894 28082042
30 28160432 28159580 28160024
30 28160210 28160654 28159802
30 28163024 28162172 28162616
30 28162802 28163246 28162394
30 28166912 28166060 28166504
30 28166690 28167134 28166282
30 28169504 28168652 28169096
30 28169282 28169726 28168874
30 28173392 28172540 28172984
30 28173170 28173614 28172762
30 28175984 28175132 28175576
30 28175762 28176206 28175354
30 28300400 28299548 28299992
30 28300178 28300622 28299770
30 28302992 28302140 28302584
30 28302770 28303214 28302362
30 28306880 28306028 28306472
30 28306658 28307102 28306250
30 28309472 28308620 28309064
30 28309250 28309694 28308842
30 28313360 28312508 28312952
30 28313138 28313582 28312730
30 28315952 28315100 28315544
30 28315730 28316174 28315322
30 28393712 28392860 28393304
30 28393490 28393934 28393082
30 28396304 28395452 28395896
30 28396082 28396526 28395674
30 28400192 28399340 28399784
30 28399970 28400414 28399562
30 28402784 28401932 28402376
30 28402562 28403006 28402154
30 28406672 28405820 28406264
30 28406450 28406894 28406042
30 28409264 28408412 28408856
30 28409042 28409486 28408634
30 33619184 33618332 33618776
30 33618962 33619406 33618554
30 33621776 33620924 33621368
30 33621554 33621998 33621146
30 33625664 33624812 33625256
30 33625442 33625886 33625034
30 33628256 33627404 33627848
30 33628034 33628478 33627626
30 33632144 33631292 33631736
30 33631922 33632366 33631514
30 33634736 33633884 33634328
30 33634514 33634958 33634106
30 33667136 33666284 33666728
30 33666914 33667358 33666506
30 33673616 33672764 33673208
30 33673394 33673838 33672986
30 33680096 33679244 33679688
30 33679874 33680318 33679466
30 33712496 33711644 33712088
30 33712274 33712718 33711866
30 33715088 33714236 33714680
30 33714866 33715310 33714458
30 33718976 33718124 33718568
30 33718754 33719198 33718346
30 33721568 33720716 33721160
30 33721346 33721790 33720938
30 33725456 33724604 33725048
30 33725234 33725678 33724826
30 33728048 33727196 33727640
30 33727826 33728270 33727418
30 33945776 33944924 33945368
30 33945554 33945998 33945146
30 33948368 33947516 33947960
30 33948146 33948590 33947738
30 33952256 33951404 33951848
30 33952034 33952478 33951626
30 33954848 33953996 33954440
30 33954626 33955070 33954218
30 33958736 33957884 33958328
30 33958514 33958958 33958106
30 33961328 33960476 33960920
30 33961106 33961550 33960698
30 33993728 33992876 33993320
30 33993506 33993950 33993098
30 34000208 33999356 33999800
30 33999986 34000430 33999578
30 34006688 34005836 34006280
30 34006466 34006910 34006058
30 34039088 34038236 34038680
30 34038866 34039310 34038458
30 34041680 34040828 34041272
30 34041458 34041902 34041050
30 34045568 34044716 34045160
30 34045346 34045790 34044938
30 34048160 34047308 34047752
30 34047938 34048382 34047530
30 34052048 34051196 34051640
30 34051826 34052270 34051418
30 34054640 34053788 34054232
30 34054418 34054862 34054010
30 34272368 34271516 34271960
30 34272146 34272590 34271738
30 34274960 34274108 34274552
30 34274738 34275182 34274330
30 34278848 34277996 34278440
30 34278626 34279070 34278218
30 34281440 34280588 34281032
30 34281218 34281662 34280810
30 34285328 34284476 34284920
30 34285106 34285550 34284698
30 34287920 34287068 34287512
30 34287698 34288142 34287290
30 34320320 34319468 34319912
30 34320098 34320542 34319690
30 34326800 34325948 34326392
30 34326578 34327022 34326170
30 34333280 34332428 34332872
30 34333058 34333502 34332650
30 34365680 34364828 34365272
30 34365458 34365902 34365050
30 34368272 34367420 34367864
30 34368050 34368494 34367642
30 34372160 34371308 34371752
30 34371938 34372382 34371530
30 34374752 34373900 34374344
30 34374530 34374974 34374122
30 34378640 34377788 34378232
30 34378418 34378862 34378010
30 34381232 34380380 34380824
30 34381010 34381454 34380602
30 35345456 35344604 35345048
30 35345234 35345678 35344826
30 35348048 35347196 35347640
30 35347826 35348270 35347418
30 35351936 35351084 35351528
30 35351714 35352158 35351306
30 35354528 35353676 35354120
30 35354306 35354750 35353898
30 35358416 35357564 35358008
30 35358194 35358638 35357786
30 35361008 35360156 35360600
30 35360786 35361230 35360378
30 35672048 35671196 35671640
30 35671826 35672270 35671418
30 35674640 35673788 35674232
30 35674418 35674862 35674010
30 35678528 35677676 35678120
30 35678306 35678750 35677898
30 35681120 35680268 35680712
30 35680898 35681342 35680490
30 35685008 35684156 35684600
30 35684786 35685230 35684378
30 35687600 35686748 35687192
30 35687378 35687822 35686970
30 35998640 35997788 35998232
30 35998418 35998862 35998010
30 36001232 36000380 36000824
30 36001010 36001454 36000602
30 36005120 36004268 36004712
30 36004898 36005342 36004490
30 36007712 36006860 36007304
30 36007490 36007934 36007082
30 36011600 36010748 36011192
