2 14 26 29 68 80
2 14 26 41 53 56
2 14 26 41 56 80
2 14 26 53 56 68
2 14 26 56 68 80
2 14 29 41 53 80
2 14 29 53 68 80
2 14 41 53 56 80
2 14 53 56 68 80
2 15 19 32 36 49
2 15 19 32 36 79
2 15 19 32 49 66
2 15 19 32 66 79
2 15 19 36 49 62
2 15 19 36 62 79
2 15 19 49 62 66
2 15 19 62 66 79
2 15 32 36 49 79
2 15 32 49 66 79
2 15 36 49 62 79
2 15 49 62 66 79
2 16 21 35 40 45
2 16 21 35 40 78
2 16 21 35 45 64
2 16 21 35 64 78
2 16 21 40 45 59
2 16 21 40 59 78
2 16 21 45 59 64
2 16 21 59 64 78
2 16 35 40 45 78
2 16 35 45 64 78
2 16 40 45 59 78
2 16 45 59 64 78
2 17 23 29 44 50
2 17 23 29 44 77
2 17 23 29 50 71
2 17 23 29 71 77
2 17 23 44 50 56
2 17 23 44 56 77
2 17 23 50 56 71
2 17 23 56 71 77
2 17 29 44 50 77
2 17 29 50 71 77
2 17 44 50 56 77
2 17 50 56 71 77
2 18 35 43 51 67
2 18 35 43 67 75
2 18 43 51 59 67
2 18 43 59 67 75
2 19 32 36 49 66
2 19 32 36 66 79
2 19 36 49 62 66
2 19 36 62 66 79
2 20 29 38 47 65
2 20 29 38 65 74
2 20 38 47 56 65
2 20 38 56 65 74
2 21 35 40 45 64
2 21 35 40 64 78
2 21 40 45 59 64
2 21 40 59 64 78
2 22 32 42 52 63
2 22 32 42 63 73
2 22 42 52 62 63
2 22 42 62 63 73
2 23 29 44 50 71
2 23 29 44 71 77
2 23 44 50 56 71
2 23 44 56 71 77
2 24 35 37 48 70
2 24 35 37 70 72
2 24 37 48 59 70
2 24 37 59 70 72
2 25 32 39 46 69
2 25 32 39 69 76
2 25 39 46 62 69
2 25 39 62 69 76
2 26 29 41 53 68
2 26 29 41 68 80
2 26 41 53 56 68
2 26 41 56 68 80
2 29 38 47 65 74
2 29 41 53 68 80
2 29 44 50 71 77
2 32 36 49 66 79
2 32 39 46 69 76
2 32 42 52 63 73
2 35 37 48 70 72
2 35 40 45 64 78
2 35 43 51 67 75
2 36 49 62 66 79
2 37 48 59 70 72
2 38 47 56 65 74
2 39 46 62 69 76
2 40 45 59 64 78
2 41 53 56 68 80
2 42 52 62 63 73
2 43 51 59 67 75
2 44 50 56 71 77
3 4 5 6 7 8
3 6 28 31 56 59
3 6 28 31 56 62
3 6 28 31 59 62
3 6 28 34 56 59
3 6 28 34 56 62
